origin_planet,destination_planet,min_distance_au,max_distance_au,min_distance_km,max_distance_km,min_time_days_1g,max_time_days_1g,median_time_days_1g,max_deltav_kms_1g,min_time_days_0_3g,max_time_days_0_3g,median_time_days_0_3g,max_deltav_kms_0_3g,origin_perihelion_au,origin_aphelion_au,destination_perihelion_au,destination_aphelion_au
Mercury,Venus,0.251,1.195,37549600.0,178772000.0,1.433,3.126,1.15,2647.24,2.616,5.708,2.1,1449.95,0.307,0.467,0.718,0.728
Earth,Mercury,0.516,1.484,77193600.0,222006400.0,2.054,3.484,2.962,2950.03,3.751,6.361,5.407,1615.8,0.983,1.017,0.307,0.467
Earth,Venus,0.255,1.745,38148000.0,261052000.0,1.444,3.778,3.177,3198.94,2.637,6.898,5.8,1752.13,0.983,1.017,0.718,0.728
Mars,Mercury,0.914,2.133,136734400.0,319096800.0,2.734,4.177,2.477,3536.75,4.992,7.626,4.522,1937.16,1.381,1.666,0.307,0.467
Mars,Venus,0.653,2.394,97688800.0,358142400.0,2.311,4.425,2.194,3746.89,4.22,8.079,4.005,2052.26,1.381,1.666,0.718,0.728
Earth,Mars,0.364,2.683,54454400.0,401376800.0,1.726,4.685,3.861,3966.61,3.15,8.553,7.049,2172.6,0.983,1.017,1.381,1.666
Jupiter,Mercury,4.483,5.924,670656800.0,886230400.0,6.056,6.961,5.88,5894.08,11.056,12.709,10.735,3228.32,4.95,5.457,0.307,0.467
Jupiter,Venus,4.222,6.185,631611200.0,925276000.0,5.877,7.113,5.766,6022.53,10.729,12.986,10.527,3298.67,4.95,5.457,0.718,0.728
Earth,Jupiter,3.933,6.474,588376800.0,968510400.0,5.672,7.277,6.583,6161.62,10.355,13.286,12.02,3374.86,0.983,1.017,4.95,5.457
Jupiter,Mars,3.284,7.123,491286400.0,1065600800.0,5.183,7.633,5.332,6463.09,9.463,13.936,9.736,3539.98,4.95,5.457,1.381,1.666
Mercury,Saturn,8.574,10.591,1282670400.0,1584413600.0,8.375,9.308,8.369,7880.93,15.29,16.993,15.279,4316.56,0.307,0.467,9.041,10.124
Saturn,Venus,8.313,10.852,1243624800.0,1623459200.0,8.246,9.422,8.289,7977.44,15.055,17.201,15.134,4369.43,9.041,10.124,0.718,0.728
Earth,Saturn,8.024,11.141,1200390400.0,1666693600.0,8.101,9.546,8.877,8082.97,14.791,17.429,16.208,4427.22,0.983,1.017,9.041,10.124
Mars,Saturn,7.375,11.79,1103300000.0,1763784000.0,7.767,9.82,7.994,8315.07,14.18,17.929,14.595,4554.35,1.381,1.666,9.041,10.124
Jupiter,Saturn,3.584,15.581,536166400.0,2330917600.0,5.414,11.289,5.955,9558.87,9.885,20.611,10.873,5235.61,4.95,5.457,9.041,10.124
Mercury,Uranus,17.908,20.53,2679036800.0,3071288000.0,12.103,12.959,12.192,10972.44,22.097,23.659,22.26,6009.85,0.307,0.467,18.375,20.063
Uranus,Venus,17.647,20.791,2639991200.0,3110333600.0,12.014,13.041,12.138,11041.97,21.935,23.809,22.16,6047.94,18.375,20.063,0.718,0.728
Earth,Uranus,17.358,21.08,2596756800.0,3153568000.0,11.916,13.131,12.547,11118.45,21.755,23.974,22.907,6089.82,0.983,1.017,18.375,20.063
Mars,Uranus,16.709,21.729,2499666400.0,3250658400.0,11.691,13.332,11.938,11288.3,21.344,24.34,21.795,6182.86,1.381,1.666,18.375,20.063
Jupiter,Uranus,12.918,25.52,1932532800.0,3817792000.0,10.279,14.448,10.681,12233.46,18.767,26.378,19.5,6700.54,4.95,5.457,18.375,20.063
Saturn,Uranus,8.251,30.187,1234349600.0,4515975200.0,8.215,15.714,8.866,13305.12,14.999,28.689,16.188,7287.51,9.041,10.124,18.375,20.063
Mercury,Neptune,29.3,30.908,4383280000.0,4623836800.0,15.481,15.9,15.415,13463.08,28.265,29.03,28.143,7374.03,0.307,0.467,29.767,30.441
Neptune,Venus,29.039,31.169,4344234400.0,4662882400.0,15.412,15.967,15.372,13519.8,28.138,29.152,28.064,7405.1,29.767,30.441,0.718,0.728
Earth,Neptune,28.75,31.458,4301000000.0,4706116800.0,15.335,16.041,15.696,13582.33,27.998,29.287,28.658,7439.35,0.983,1.017,29.767,30.441
Mars,Neptune,28.101,32.107,4203909600.0,4803207200.0,15.161,16.206,15.214,13721.72,27.68,29.587,27.777,7515.7,1.381,1.666,29.767,30.441
Jupiter,Neptune,24.31,35.898,3636776000.0,5370340800.0,14.101,17.136,14.249,14509.22,25.745,31.286,26.015,7947.03,4.95,5.457,29.767,30.441
Neptune,Saturn,19.643,40.565,2938592800.0,6068524000.0,12.676,18.216,12.945,15423.56,23.143,33.257,23.634,8447.83,29.767,30.441,9.041,10.124
Neptune,Uranus,9.704,50.504,1451718400.0,7555398400.0,8.909,20.325,9.432,17209.64,16.266,37.108,17.22,9426.11,29.767,30.441,18.375,20.063
