origin_planet,destination_planet,min_time_days_0_3g,max_time_days_0_3g,median_time_days_0_3g,min_time_days_1g,max_time_days_1g,median_time_days_1g,min_distance_au,max_distance_au,min_distance_km,max_distance_km,max_deltav_kms_0_3g,max_deltav_kms_1g,origin_perihelion_au,origin_aphelion_au,destination_perihelion_au,destination_aphelion_au
Mercury,Venus,2.616,5.708,2.1,1.433,3.126,1.15,0.251,1.195,37549600,178772000,1449.95,2647.24,0.307,0.467,0.718,0.728
Mercury,Earth,3.751,6.361,3.053,2.054,3.484,1.672,0.516,1.484,77193600,222006400,1615.8,2950.03,0.307,0.467,0.983,1.017
Mercury,Mars,4.992,7.626,4.522,2.734,4.177,2.477,0.914,2.133,136734400,319096800,1937.16,3536.75,0.307,0.467,1.381,1.666
Mercury,Jupiter,11.056,12.709,10.735,6.056,6.961,5.88,4.483,5.924,670656800,886230400,3228.32,5894.08,0.307,0.467,4.95,5.457
Mercury,Saturn,15.29,16.993,15.279,8.375,9.308,8.369,8.574,10.591,1282670400,1584413600,4316.56,7880.93,0.307,0.467,9.041,10.124
Mercury,Uranus,22.097,23.659,22.26,12.103,12.959,12.192,17.908,20.53,2679036800,3071288000,6009.85,10972.44,0.307,0.467,18.375,20.063
Mercury,Neptune,28.265,29.03,28.143,15.481,15.9,15.415,29.3,30.908,4383280000,4623836800,7374.03,13463.08,0.307,0.467,29.767,30.441
Venus,Earth,2.637,6.898,2.217,1.444,3.778,1.214,0.255,1.745,38148000,261052000,1752.13,3198.94,0.718,0.728,0.983,1.017
Venus,Mars,4.22,8.079,4.005,2.311,4.425,2.194,0.653,2.394,97688800,358142400,2052.26,3746.89,0.718,0.728,1.381,1.666
Venus,Jupiter,10.729,12.986,10.527,5.877,7.113,5.766,4.222,6.185,631611200,925276000,3298.67,6022.53,0.718,0.728,4.95,5.457
Venus,Saturn,15.055,17.201,15.134,8.246,9.422,8.289,8.313,10.852,1243624800,1623459200,4369.43,7977.44,0.718,0.728,9.041,10.124
Venus,Uranus,21.935,23.809,22.16,12.014,13.041,12.138,17.647,20.791,2639991200,3110333600,6047.94,11041.97,0.718,0.728,18.375,20.063
Venus,Neptune,28.138,29.152,28.064,15.412,15.967,15.372,29.039,31.169,4344234400,4662882400,7405.1,13519.8,0.718,0.728,29.767,30.441
Earth,Mars,3.15,8.553,7.049,1.726,4.685,3.861,0.364,2.683,54454400,401376800,2172.6,3966.61,0.983,1.017,1.381,1.666
Earth,Jupiter,10.355,13.286,12.02,5.672,7.277,6.583,3.933,6.474,588376800,968510400,3374.86,6161.62,0.983,1.017,4.95,5.457
Earth,Saturn,14.791,17.429,16.208,8.101,9.546,8.877,8.024,11.141,1200390400,1666693600,4427.22,8082.97,0.983,1.017,9.041,10.124
Earth,Uranus,21.755,23.974,22.907,11.916,13.131,12.547,17.358,21.08,2596756800,3153568000,6089.82,11118.45,0.983,1.017,18.375,20.063
Earth,Neptune,27.998,29.287,28.658,15.335,16.041,15.696,28.75,31.458,4301000000,4706116800,7439.35,13582.33,0.983,1.017,29.767,30.441
Mars,Jupiter,9.463,13.936,9.736,5.183,7.633,5.332,3.284,7.123,491286400,1065600800,3539.98,6463.09,1.381,1.666,4.95,5.457
Mars,Saturn,14.18,17.929,14.595,7.767,9.82,7.994,7.375,11.79,1103300000,1763784000,4554.35,8315.07,1.381,1.666,9.041,10.124
Mars,Uranus,21.344,24.34,21.795,11.691,13.332,11.938,16.709,21.729,2499666400,3250658400,6182.86,11288.3,1.381,1.666,18.375,20.063
Mars,Neptune,27.68,29.587,27.777,15.161,16.206,15.214,28.101,32.107,4203909600,4803207200,7515.7,13721.72,1.381,1.666,29.767,30.441
Jupiter,Saturn,9.885,20.611,10.873,5.414,11.289,5.955,3.584,15.581,536166400,2330917600,5235.61,9558.87,4.95,5.457,9.041,10.124
Jupiter,Uranus,18.767,26.378,19.5,10.279,14.448,10.681,12.918,25.52,1932532800,3817792000,6700.54,12233.46,4.95,5.457,18.375,20.063
Jupiter,Neptune,25.745,31.286,26.015,14.101,17.136,14.249,24.31,35.898,3636776000,5370340800,7947.03,14509.22,4.95,5.457,29.767,30.441
Saturn,Uranus,14.999,28.689,16.188,8.215,15.714,8.866,8.251,30.187,1234349600,4515975200,7287.51,13305.12,9.041,10.124,18.375,20.063
Saturn,Neptune,23.143,33.257,23.634,12.676,18.216,12.945,19.643,40.565,2938592800,6068524000,8447.83,15423.56,9.041,10.124,29.767,30.441
Uranus,Neptune,16.266,37.108,17.22,8.909,20.325,9.432,9.704,50.504,1451718400,7555398400,9426.11,17209.64,18.375,20.063,29.767,30.441
