origin_planet,destination_planet,min_time_days_1_3g,max_time_days_1_3g,median_time_days_1_3g,min_time_days_1g,max_time_days_1g,median_time_days_1g,min_distance_au,max_distance_au,min_distance_km,max_distance_km,min_deltav_kms_1_3g,max_deltav_kms_1_3g,min_deltav_kms_1g,max_deltav_kms_1g,origin_perihelion_au,origin_aphelion_au,destination_perihelion_au,destination_aphelion_au
Mercury,Venus,2.482,5.415,1.992,1.433,3.126,1.15,0.251,1.195,37549600.0,178772000.0,700.46,1528.38,1213.24,2647.24,0.307,0.467,0.718,0.728
Mercury,Earth,3.558,6.035,2.897,2.054,3.484,1.672,0.516,1.484,77193600.0,222006400.0,1004.32,1703.2,1739.54,2950.03,0.307,0.467,0.983,1.017
Mercury,Mars,4.736,7.235,4.29,2.734,4.177,2.477,0.914,2.133,136734400.0,319096800.0,1336.66,2041.94,2315.16,3536.75,0.307,0.467,1.381,1.666
Mercury,Ceres,7.153,9.194,6.77,4.13,5.308,3.909,2.0848,3.4445,311886080.0,515297200.0,2018.74,2594.85,3496.56,4494.4,0.307,0.467,2.5518,2.9775
Mercury,Jupiter,10.489,12.057,10.184,6.056,6.961,5.88,4.483,5.924,670656800.0,886230400.0,2960.28,3402.95,5127.35,5894.08,0.307,0.467,4.95,5.457
Mercury,Saturn,14.505,16.121,14.495,8.375,9.308,8.369,8.574,10.591,1282670400.0,1584413600.0,4093.93,4550.06,7090.89,7880.93,0.307,0.467,9.041,10.124
Mercury,Uranus,20.963,22.445,21.117,12.103,12.959,12.192,17.908,20.53,2679036800.0,3071288000.0,5916.6,6334.95,10247.84,10972.44,0.307,0.467,18.375,20.063
Mercury,Neptune,26.814,27.54,26.699,15.481,15.9,15.415,29.3,30.908,4383280000.0,4623836800.0,7568.02,7772.91,13108.19,13463.08,0.307,0.467,29.767,30.441
Venus,Earth,2.501,6.544,2.103,1.444,3.778,1.214,0.255,1.745,38148000.0,261052000.0,706.02,1846.91,1222.87,3198.94,0.718,0.728,0.983,1.017
Venus,Mars,4.003,7.665,3.8,2.311,4.425,2.194,0.653,2.394,97688800.0,358142400.0,1129.81,2163.27,1956.89,3746.89,0.718,0.728,1.381,1.666
Venus,Ceres,6.69,9.536,6.47,3.862,5.505,3.736,1.8238,3.7055,272840480.0,554342800.0,1888.15,2691.36,3270.37,4661.57,0.718,0.728,2.5518,2.9775
Venus,Jupiter,10.179,12.32,9.987,5.877,7.113,5.766,4.222,6.185,631611200.0,925276000.0,2872.81,3477.11,4975.86,6022.53,0.718,0.728,4.95,5.457
Venus,Saturn,14.283,16.319,14.358,8.246,9.422,8.289,8.313,10.852,1243624800.0,1623459200.0,4031.13,4605.78,6982.13,7977.44,0.718,0.728,9.041,10.124
Venus,Uranus,20.81,22.587,21.023,12.014,13.041,12.138,17.647,20.791,2639991200.0,3110333600.0,5873.32,6375.09,10172.89,11041.97,0.718,0.728,18.375,20.063
