Config,Dry Mass (tons),Total Mass (tons),Destination,Distance (ly),Proper Acceleration (g),Ship Time,Earth Time,Time Dilation Factor,Burn Time,Coast Time,Max Velocity (%c),Delta-v Required (%c),Delta-v Available (%c)
Ultra Light,"1,000","2,000",Alpha Centauri,4.37,0.680,349y 7m 12d,349y 7m 22d,1.0,0y 0m 13d,349y 6m 30d,1.2,2.5,3.5
Ultra Light,"1,000","2,000",Tau Ceti,11.9,0.680,952y 0m 7d,952y 1m 4d,1.0,0y 0m 13d,951y 11m 24d,1.2,2.5,3.5
Ultra Light,"1,000","2,000",Barnards Star,5.96,0.680,476y 9m 25d,476y 10m 8d,1.0,0y 0m 13d,476y 9m 12d,1.2,2.5,3.5
Light,"10,000","20,000",Alpha Centauri,4.37,0.068,349y 9m 10d,349y 9m 20d,1.0,0y 4m 8d,349y 5m 2d,1.2,2.5,3.5
Light,"10,000","20,000",Tau Ceti,11.9,0.068,952y 2m 4d,952y 3m 1d,1.0,0y 4m 8d,951y 9m 27d,1.2,2.5,3.5
Light,"10,000","20,000",Barnards Star,5.96,0.068,476y 11m 22d,477y 0m 5d,1.0,0y 4m 8d,476y 7m 14d,1.2,2.5,3.5
Medium,"100,000","200,000",Alpha Centauri,4.37,0.007,4y 4m 13d,4y 4m 13d,1.0,2y 2m 6d,0y 0m 0d,1.5,3.1,3.5
Medium,"100,000","200,000",Tau Ceti,11.9,0.007,953y 9m 11d,953y 10m 8d,1.0,3y 6m 21d,950y 2m 20d,1.2,2.5,3.5
Heavy,"1,000,000","2,000,000",Alpha Centauri,4.37,0.001,4y 4m 13d,4y 4m 13d,1.0,2y 2m 6d,0y 0m 0d,0.2,0.3,3.5
Heavy,"1,000,000","2,000,000",Tau Ceti,11.9,0.001,11y 10m 24d,11y 10m 24d,1.0,5y 11m 12d,0y 0m 0d,0.4,0.8,3.5
Heavy,"1,000,000","2,000,000",Barnards Star,5.96,0.001,5y 11m 15d,5y 11m 15d,1.0,2y 11m 23d,0y 0m 0d,0.2,0.4,3.5
